IID	PGS000903	PGS000902	PGS004924	PGS000750	PGS003763	PGS000211	PGS000056	PGS000123	PGS001774	PGS000777	PGS001353
956089091200	-3.68461	-0.0533872	-0.0533872	-1.40762	-1.44721	-0.909537	1.74261	-0.0919899	-0.427367	0.0	0.484
894890590500	-3.49131	0.631613	0.631613	-0.927589	-0.968694	-0.547912	2.14038	0.21901	0.307846	0.751416	0.622
797068911700	-3.90381	-0.0211872	-0.0211872	-0.407051	-0.35439	-0.687416	2.20727	0.32801	0.198052	0.0	1.183
786926719800	-2.83231	0.643213	0.643213	-0.187242	-0.18764	-0.593105	2.30813	0.37701	0.500219	0.751416	1.398
773357481400	-3.81631	0.327513	0.327513	-1.02216	-1.07267	-0.883992	1.8748	0.10901	0.0539324	0.751416	1.206
412661524400	-2.78111	0.787213	0.787213	-0.365533	-0.352028	-0.186329	2.27517	0.36301	-0.423853	0.751416	0.914
412947376500	-1.17061	0.0611128	0.0611128	-0.941088	-0.912051	-0.396929	2.03023	-0.0749899	6.6054e-05	0.0	0.799
894100370900	-2.51796	1.1245	1.1245	-0.116336	-0.0695869	-0.66973	2.39858	0.238	0.785632	0.751416	1.106
713601043900	-1.06926	1.0646	1.0646	0.118633	0.259301	-0.175547	2.67305	1.016	0.621869	0.751416	0.507
626328994400	-5.58636	0.2039	0.2039	-0.490665	-0.50387	-0.571797	2.20799	0.478	0.0350125	0.751416	0.622
983472010400	-2.65886	0.1439	0.1439	-0.878535	-0.900026	-0.692366	1.68863	-0.562	-0.3336	0.0	0.292
985645601200	-2.93096	0.8213	0.8213	-0.772682	-0.685857	-1.27343	1.75546	0.062	0.30504	0.0	0.914
875093446700	-0.625263	0.129	0.129	-0.490153	-0.450255	-0.662961	1.98399	0.023	0.333024	1.50283	0.776
708885740000	-2.28656	1.1315	1.1315	-0.299946	-0.2659	-0.0656011	2.55408	0.852	0.135039	0.751416	0.991
989808975200	-3.91166	0.3724	0.3724	-0.488703	-0.459629	-0.300212	2.12905	0.469	-0.439946	1.50283	0.968
981058396900	-3.27186	0.549	0.549	-0.712338	-0.672985	-0.62425	2.10004	-0.089	0.128698	0.0	0.507
649193974700	-1.79086	0.1634	0.1634	-0.627458	-0.595609	-0.321606	2.16654	0.259	0.160212	1.50283	0.407
625739244800	-3.52136	0.1982	0.1982	-1.00316	-1.03112	-0.406797	1.67467	-0.014	-0.0755101	0.0	0.407
993295040400	-2.91816	0.8912	0.8912	-0.448392	-0.446917	-0.480995	2.26324	0.48	-0.279734	0.0	0.699
999474281700	-5.71976	0.5699	0.5699	-0.481329	-0.467443	-0.580877	1.98935	0.272	-0.568681	0.0	0.407
668530631700	-4.19276	-0.5374	-0.5374	-1.56233	-1.62035	-0.994288	1.38457	-0.432	-0.380484	0.0	0.584
762668069200	-3.45136	0.0416	0.0416	-0.984914	-0.961877	-0.190859	1.66446	-0.221	-0.423853	0.751416	0.722
695538059400	-3.21336	0.2932	0.2932	-0.807353	-0.797043	-0.376106	2.00608	0.122	0.0350125	0.751416	0.722
702489829700	-3.66626	0.9111	0.9111	-0.642563	-0.664894	-0.885073	1.90116	0.21	-0.487574	0.0	0.192
703239113100	-3.67816	0.9013	0.9013	-0.837497	-0.903565	-0.424161	1.54076	-0.059	0.336538	0.0	1.014
953761318500	-2.99176	0.1045	0.1045	-1.19855	-1.22275	-0.605573	1.64287	-0.184	0.22321	0.0	0.799
882746484600	-4.26516	0.0012	0.0012	-1.25032	-1.29831	-0.88945	1.7843	-0.074	0.571553	0.0	0.484
942214438300	-1.85286	0.4809	0.4809	-0.592239	-0.550264	0.0422925	2.21695	0.49	0.351842	0.751416	0.699
771210740700	-2.66696	1.1158	1.1158	-0.232166	-0.187662	-0.0356228	2.31552	0.323	0.0378186	0.0	0.622
722312064100	-2.41686	-0.3958	-0.3958	-1.52461	-1.52846	-0.0942111	1.51713	-0.545	0.109881	0.0	0.584
872555201000	-3.54426	0.2543	0.2543	-0.968474	-0.97731	-0.911346	1.69441	0.232	-0.549761	0.0	0.699
863092680300	-1.89806	0.4501	0.4501	-0.907594	-0.938259	-0.946283	1.78737	-0.162	-0.188839	0.0	0.776
784275663800	-3.92826	0.8759	0.8759	-0.388232	-0.340472	-0.329047	2.46564	0.946	0.0378186	0.0	0.622
789669294500	-1.93726	0.6574	0.6574	-0.749074	-0.771816	-0.453686	2.19618	0.394	1.02135	0.751416	1.106
853707729400	-3.26826	0.249	0.249	-1.12743	-1.16348	-0.831228	1.90358	-0.086	-0.314039	0.751416	0.292
802456547000	-2.75986	0.1499	0.1499	-0.777235	-0.804834	-0.710811	1.85993	0.148	0.687672	0.751416	1.183
806538837200	-3.48386	0.7537	0.7537	-0.331356	-0.387549	-0.746363	2.34047	0.223	-0.232209	0.751416	0.914
631826874800	-1.26816	0.3718	0.3718	-0.939995	-0.99451	-0.758998	1.66697	-0.262	0.51133	0.751416	0.776
731753223800	-5.81446	0.1653	0.1653	-0.806224	-0.792161	-0.978209	2.05153	0.203	-0.682009	0.751416	0.0
897773487000	-4.12366	0.5874	0.5874	0.205799	0.270141	-0.26751	2.65885	1.057	0.556168	0.751416	0.968
654617539800	-2.03386	1.1266	1.1266	-0.918656	-0.97745	-0.260486	2.02357	-0.151	0.528183	0.751416	0.914
935114763600	-3.61696	-0.9064	-0.9064	-1.77619	-1.83439	-1.34495	1.36655	-0.356	0.0658035	0.751416	0.484
650809292200	-4.71316	1.3389	1.3389	-0.451667	-0.422691	-0.572377	2.44204	0.559	0.323133	0.751416	0.891
935356171900	-3.49396	0.7267	0.7267	-0.932936	-0.956736	-0.998258	1.78794	-0.026	-0.446287	0.751416	0.384
940651936500	-2.41586	0.2415	0.2415	-0.564685	-0.505195	-1.23663	2.26805	0.263	-0.377677	1.50283	0.192
865304640000	-4.74906	-0.0644	-0.0644	-0.950566	-0.925147	-0.796612	2.20702	0.31	0.0153693	0.751416	0.484
